slang,formal
mslh,masalah
mt,makan teman
mubes,musyawarah besar
mumpung,selagi
munas,musyawarah nasional
muntaber,muntah dan berak
musti,mesti
muupz,maaf
n,dan
nanam,menanam
napa,kenapa
napi,narapidana
napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
narkoba,"narkotika, psikotropika, dan obat terlarang"
nasgor,nasi goreng
nda,tidak
ndiri,sendiri
ne,ini
nekolin,neokolonialisme
nembak,menyatakan cinta
ngabuburit,menunggu berbuka puasa
ngaku,mengaku
ngambil,mengambil
nganggur,tidak punya pekerjaan
ngapah,kenapa
ngaret,terlambat
ngasih,memberikan
ngebandel,berbuat bandel
ngegosip,bergosip
ngeklaim,mengklaim
ngeksis,menjadi eksis
ngeles,berkilah
ngelidur,menggigau
ngerampok,merampok
ngibul,berbohong
ngiler,mau
ngiri,iri
ngisiin,mengisikan
ngmng,bicara
ngomong,bicara
ngubek2,mencari-cari
ngurus,mengurus
nie,ini
niyh,nih
nmr,nomor
nntn,nonton
nobar,nonton bareng
np,now playing
ntn,nonton
numpuk,bertumpuk
nutupin,menutupi
nyari,mencari
nyekar,menyekar
nyicil,mencicil
nyoblos,mencoblos
ogah,tidak mau
ol,online
ongkir,ongkos kirim
oot,out of topic
org2,orang-orang
otda,otonomi daerah
otw,"on the way, sedang di jalan"
pacal,pacar
pansus,panitia khusus
parpol,partai politik
pasutri,pasangan suami istri
pelatnas,pemusatan latihan nasional
pemda,pemerintah daerah
pemkot,pemerintah kota
pemred,pemimpin redaksi
penjas,pendidikan jasmani
perda,peraturan daerah
perhatiin,perhatikan
pesenan,pesanan
pgang,pegang
pi,tapi
pilkada,pemilihan kepala daerah
pisan,sangat
pk,penjahat kelamin
plg,paling
pmrnth,pemerintah
polantas,polisi lalu lintas
ponpes,pondok pesantren
pp,pulang pergi
prg,pergi
psen,pesan
pst,pasti
pswt,pesawat
pw,posisi nyaman
qmu,kamu
rakor,rapat koordinasi
ranmor,kendaraan bermotor
re,reply
ref,referensi
rehab,rehabilitasi
rempong,sulit
repp,balas
restik,reserse narkotika
rhs,rahasia
rmh,rumah
ru,baru
ruko,rumah toko
rusunawa,rumah susun sewa
ruz,terus
saia,saya
salting,salah tingkah
samsek,sama sekali
sapose,siapa
satpam,satuan pengamanan
sbh,sebuah
sbnrny,sebenarnya
sdgkn,sedangkan
sdkt,sedikit
se7,setuju
sebelas dua belas,mirip
sembako,sembilan bahan pokok
sempet,sempat
sendratari,seni drama tari
shg,sehingga
siech,sih
sikon,situasi dan kondisi
sinetron,sinema elektronik
siramin,siramkan
sj,saja
skalian,sekalian
skt,sakit
slesai,selesai
sll,selalu
slma,selama
slsai,selesai
smw,semua
sndiri,sendiri
soljum,sholat jumat
songong,sombong
sory,maaf
sosek,sosial-ekonomi
sotoy,sok tahu
spa,siapa
sppa,siapa
srtfkt,sertifikat
stiap,setiap
stlh,setelah
suk,masuk
sumpek,sempit
t4,tempat
tajir,kaya
tau,tahu
taw,tahu
teh,kakak perempuan
telat,terlambat
telmi,telat berpikir
tengil,menyebalkan
tepar,terkapar
tggu,tunggu
tgu,tunggu
thankz,terima kasih
thn,tahun
tilang,bukti pelanggaran
tipiwan,TvOne
tks,terima kasih
tlp,telepon
tls,tulis
tmbah,tambah
tmen2,teman-teman
tmpah,tumpah
tmpt,tempat
tngu,tunggu
tnyta,ternyata
tokai,tai
toserba,toko serba ada
trdhulu,terdahulu
trima,terima kasih
trm,terima
trutama,terutama
ts,penulis
tst,tahu sama tahu
tuch,tuh
tuir,tua
tw,tahu
ujg,ujung
ul,ulangan
unyu,lucu
uplot,unggah
urang,saya
usah,perlu
valas,valuta asing
w/,dengan
wadir,wakil direktur
wamil,wajib militer
warkop,warung kopi
warteg,warung tegal
wat,buat
xixixi,tertawa
ya,iya
yap,iya
yawdah,ya sudah
yl,yang lain
yo,iya
yowes,ya sudah
yup,iya
7an,tujuan
ababil,abg labil
adlah,adalah
adoh,aduh
aha,tertawa
aka,dikenal juga sebagai
akko,aku
akku,aku
akyu,aku
aljasa,asal jadi saja
ambl,ambil
ank,anak
ap,apa
apaan,apa
ape,apa
aplot,unggah
apva,apa
aqu,aku
asap,sesegera mungkin
aseek,asyik
asek,asyik
aseknya,asyiknya
asoy,asyik
astrojim,astagfirullahaladzim
ath,kalau begitu
ava,avatar
aws,awas
ayang,sayang
bacot,banyak bicara
bales,balas
bangdes,pembangunan desa
bangkotan,tua
banpres,bantuan presiden
bansarkas,bantuan sarana kesehatan
bazis,"badan amal, zakat, infak, dan sedekah"
bcoz,karena
beb,sayang
ber2,berdua
berdikari,berdiri di atas kaki sendiri
beti,beda tipis
beut,banget
bgd,banget
bgs,bagus
bhubu,tidur
bimbuluh,bimbingan dan penyuluhan
bisi,kalau-kalau
bkn,bukan
bl,beli
blg,bilang
blm,belum
bls,balas
bnchi,benci
bngung,bingung
bohay,badan aduhai
bokin,pacar
bole,boleh
bonyok,ayah ibu
brb,segera kembali
brngkt,berangkat
brp,berapa
brur,saudara laki-laki
bsa,bisa
bu_bu,tidur
bubarin,bubarkan
buber,buka bersama
bujubune,luar biasa
buser,buru sergap
bwhn,bawahan
byar,bayar
byr,bayar
c8,chat
cabut,pergi
caem,cakep
cama-cama,sama-sama
cangcut,celana dalam
caur,jelek
cekak,tidak ada uang
cekidot,coba lihat
cemplungin,cemplungkan
ceper,pendek
ceu,kakak perempuan
cibuk,sibuk
cin,cinta
ciye,cie
ckck,ck
clbk,cinta lama bersemi kembali
cmpr,campur
cnenk,senang
congor,mulut
cow,cowok
coz,karena
cpa,siapa
gokil,gila
gombal,suka merayu
gpl,tidak pakai lama
gretong,gratis
gtw,tidak tahu
gws,cepat sembuh
haghaghag,tertawa
hakhak,tertawa
handak,bahan peledak
hansip,pertahanan sipil
hellow,halo
helow,halo
hi,hai
hlng,hilang
hnya,hanya
houm,rumah
hubad,hubungan angkatan darat
hubla,perhubungan laut
huft,mengeluh
humas,hubungan masyarakat
idk,saya tidak tahu
ilfeel,tidak suka
imba,jago sekali
imoet,imut
info,informasi
isengin,bercanda
iyala,iya lah
iyo,iya
jablay,jarang dibelai
jadul,jaman dulu
jancuk,anjing
jd,jadi
jdikan,jadikan
jijay,jijik
jkt,jakarta
jnj,janji
jth,jatuh
jurdil,jujur adil
kabag,kepala bagian
kacian,kasihan
kadit,kepala direktorat
kaka,kakak
kamtib,keamanan dan ketertiban
kamuh,kamu
kamyu,kamu
kapt,kapten
kasat,kepala satuan
kasubbid,kepala subbidang
kau,kamu
kbar,kabar
kcian,kasihan
keburu,terlanjur
kedubes,kedutaan besar
keknya,kayaknya
keliatan,kelihatan
keneh,masih
kepikiran,terpikirkan
kepo,mau tahu urusan orang
kere,tidak punya uang
kesian,kasihan
ketauan,ketahuan
keukeuh,keras kepala
khan,kan
kibus,kaki busuk
kk,kakak
klian,kalian
kluarga,keluarga
klwrga,keluarga
kmari,kemari
kmpus,kampus
kn,kan
knl,kenal
knpa,kenapa
kog,kok
kompi,komputer
komtiong,komunis Tiongkok
konjen,konsulat jenderal
koq,kok
kpd,kepada
kptsan,keputusan
krik,garing
ktauan,ketahuan
ktny,katanya
kuq,kok
kykny,kayanya
laka,kecelakaan
lambreta,lambat
lansia,lanjut usia
lapas,lembaga pemasyarakatan
lbur,libur
lekong,laki-laki
lgkp,lengkap
lht,lihat
linmas,perlindungan masyarakat
lmyan,lumayan
lngkp,lengkap
loch,loh
lom,belum
loupz,cinta
lowh,kamu
lu,kamu
luchu,lucu
luff,cinta
luph,cinta
lw,kamu
lwt,lewat
maaciw,terima kasih
mabes,markas besar
macem-macem,macam-macam
madesu,masa depan suram
mahatma,maju sehat bersama
malah,bahkan
malu2in,memalukan
mamz,makan
manies,manis
markus,makelar kasus
mending,lebih baik
mgkn,mungkin
mhn,mohon
miker,minuman keras
milis,mailing list
mksd,maksud
mnt,minta
moge,motor gede
mokat,mati
mosok,masa
mskpn,meskipun
msng2,masing-masing
muahal,mahal
muker,musyawarah kerja
mumet,pusing
muna,munafik
munaslub,musyawarah nasional luar biasa
musda,musyawarah daerah
muup,maaf
muuv,maaf
nal,kenal
nangis,menangis
naon,apa
napol,narapidana politik
naq,anak
narsis,bangga pada diri sendiri
nax,anak
ndak,tidak
ndut,gendut
nekolim,neokolonialisme
nelfon,menelepon
ngabis2in,menghabiskan
ngakak,tertawa
ngambek,marah
ngampus,pergi ke kampus
ngantri,mengantri
ngaruh,berpengaruh
ngawur,berbicara sembarangan
ngeceng,kumpul bareng-bareng
ngeh,sadar
ngekos,tinggal di kos
ngelamar,melamar
ngeliat,melihat
ngemeng,bicara terus-terusan
ngerti,mengerti
ngikut,ikut
nginep,menginap
ngisi,mengisi
ngmg,bicara
ngocol,lucu
ngomongin,membicarakan
ngumpul,berkumpul
nyasar,tersesat
nyariin,mencari
nyiapin,mempersiapkan
nyiram,menyiram
nyok,ayo
o/,oleh
ok,ok
priksa,periksa
pro,profesional
psn,pesan
puanas,panas
qmo,kamu
qt,kita
rame,ramai
raskin,rakyat miskin
red,redaksi
reg,register
renstra,rencana strategis
reskrim,reserse kriminal
sni,sini
somse,sombong sekali
sosbud,sosial-budaya
sospol,sosial-politik
sowry,maaf
spd,sepeda
sprti,seperti
spy,supaya
stelah,setelah
subbag,subbagian
sumbangin,sumbangkan
sy,saya
syp,siapa
tabanas,tabungan pembangunan nasional
tawh,tahu
tdi,tadi
te2p,tetap
tekor,rugi
telkom,telekomunikasi
temen2,teman-teman
tengok,menjenguk
terbitin,terbitkan
thd,terhadap
thx,terima kasih
tipi,TV
tkg,tukang
tll,terlalu
tlpn,telepon
tman,teman
tmbh,tambah
tmn2,teman-teman
tmph,tumpah
tnda,tanda
tnh,tanah
togel,toto gelap
tq,terima kasih
trgntg,tergantung
trims,terima kasih
cb,coba
munfik,munafik
reklamuk,reklamasi
sma,sama
tren,trend
ngehe,kesal
mz,mas
analisise,analisis
sadaar,sadar
sept,september
nmenarik,menarik
zonk,bodoh
rights,benar
simiskin,miskin
ngumpet,sembunyi
hardcore,keras
akhirx,akhirnya
solve,solusi
watuk,batuk
ngebully,intimidasi
masy,masyarakat
still,masih
tauk,tahu
mbual,bual
tioghoa,tionghoa
ngentotin,senggama
kentot,senggama
faktakta,fakta
rubahnn,rubah
trlalu,terlalu
nyela,cela
heters,pembenci
nyembah,sembah
most,paling
ikon,lambang
light,terang
pndukung,pendukung
setting,atur
seting,akting
waspadalah,waspada
gantengsaya,ganteng
parte,partai
nyerang,serang
nipu,tipu
ktipu,tipu
jentelmen,berani
buangbuang,buang
tsangka,tersangka
kurng,kurang
ista,nista
less,kurang
koar,teriak
paranoid,takut
tahi,kotoran
tirani,tiran
tilep,tilap
penertiban,tertib
uasai,kuasa
mnolak,tolak
wkwkkw,tertawa
ahokncc,ahok
istaa,nista
benarjujur,jujur
mgkin,mungkin
